Geo-ID	Place	% of Homes Built 2000 to 2009	% of Homes Built 1990 to 1999	% of Homes Built 1980 to 1989	% of Homes Built 1970 to 1979	% of Homes Built 1960 to 1969	% of Homes Built 1950 to 1959	% of Homes Built 1940 to 1949	% of Homes Built 1939 or earlier	% of Homes No bed rooms	% of Homes 1 bed rooms	% of Homes 2 bed rooms	% of Homes  3 bed rooms	% of Homes 4 bed rooms	% of Homes 5 or more bed rooms
16000us0606028	Bermuda Dunes	22	46	7	6	0	0	0	19	0	4	40	35	20	1
16000us0606070	Berry Creek	11	24	29	9	6	2	6	13	4	12	38	37	10	0
16000us0606150	Bertsch-Oceanview	15	13	19	7	13	2	12	18	5	9	23	39	14	10
16000us0606210	Bethel Island	12	22	16	20	10	10	7	3	3	16	49	27	6	0
16000us0606308	Beverly Hills	4	7	7	14	14	12	38	4	6	22	33	17	12	10
16000us0606336	Bieber	0	12	45	0	10	8	23	3	0	8	36	47	10	0
16000us0606406	Big Bear City	11	22	33	12	7	3	5	6	0	10	50	32	7	1
16000us0606434	Big Bear Lake	10	25	23	17	10	6	5	5	2	10	39	39	8	2
16000us0606475	Big Bend	1	18	17	13	6	13	33	0	10	46	28	16	0	0
16000us0606518	Big Creek	3	0	0	0	26	15	35	10	4	0	18	66	12	0
06000us0600790230	Biggs	10	17	27	9	10	8	16	3	1	5	27	54	9	5
16000us0606567	Big Lagoon	19	8	11	9	26	3	18	5	3	20	56	21	0	0
16000us0606616	Big Pine	11	20	29	12	8	5	11	4	3	6	31	49	10	1
16000us0606635	Big River	14	30	38	9	1	0	1	7	3	6	49	37	4	1
06000us0603590240	Big Valley	18	7	27	8	5	8	14	13	1	7	30	41	18	4
06000us0602790250	Bishop	9	14	29	18	9	8	6	6	3	11	30	41	13	2
16000us0606928	Blackhawk	34	53	7	2	0	2	0	3	0	2	3	25	57	13
16000us0606935	Blacklake	41	31	5	0	0	0	0	23	2	7	41	40	10	0
16000us0606982	Black Point-Green Point	1	19	29	4	11	3	14	18	0	2	22	35	33	8
16000us0606994	Blairsden	0	0	14	0	0	0	86	0	0	0	14	60	26	0
16000us0607036	Bloomfield	0	32	4	27	0	9	29	0	0	0	38	30	25	6
16000us0607064	Bloomington	13	16	12	12	22	11	4	9	1	8	16	51	17	6
16000us0607162	Blue Lake	4	16	18	11	13	6	31	1	5	11	25	43	13	4
16000us0607172	Bluewater	19	18	45	12	4	0	0	2	2	25	48	23	1	1
16000us0607218	Blythe	17	12	15	17	12	7	3	16	5	13	24	46	11	1
16000us0607246	Bodega	0	25	52	0	0	0	23	0	0	53	33	13	0	0
16000us0607260	Bodega Bay	25	38	24	4	2	1	3	3	3	9	21	58	9	0
